Angular Second Moment,Inverse Difference Moment,Contrast,Energy,Entropy,Homogeneity,Variance,Shade,Prominence,Inertia,Correlation,16 Area,16 Mean,16 StdDev,16 Mode,16 Min,16 Max,16 Median,16 Skew,16 Kurt,8 Area,8 Mean,8 StdDev,8 Mode,8 Min,8 Max,8 Median,8 Skew,8 Kurt,Class
0.00275,0.12375,95.312,0.00275,6.1425,0.211,99.56725,1408.77375,254148.1415,95.312,0.00525,548.423,40.009,15.496,38,-1,83,39,0.202,-0.214,548.423,127.676,9.898,126,102,155,127,0.204,-0.223,D
0.019,0.08425,152.82075,0.019,3.98025,0.17075,107.575,-2092.61825,297607.6958,152.82075,0.0029928,43.769,60.761,19.301,76,-3,103,62,-0.543,1.21,43.769,133.831,10.99,136,98,158,135,-0.51,1.118,D
0.01025,0.20425,34.369,0.01025,4.718,0.29875,41.814,-454.469,66394.32675,34.369,0.0145,115.638,72.585,10.726,77,39,112,73,-0.063,1.044,115.638,148.443,6.822,147,127,174,149,-0.038,1.154,D
0.004,0.1285,83.24625,0.004,5.59125,0.217,131.562,2705.53025,579857.0573,83.24625,0.00525,329.306,33.57,18.957,30,-12,91,33,0.201,-0.208,329.306,123.575,12.11,121,94,160,123,0.198,-0.232,C
0.00225,0.162,47.35175,0.00225,6.32375,0.258,99.56075,-1433.17375,335541.7308,47.35175,0.008,815.392,105.651,15.697,102,52,150,105,-0.193,-0.155,815.392,169.584,10.025,167,135,198,169,-0.197,-0.137,C
0.00775,0.21975,27.0565,0.00775,4.98875,0.31175,27.173,124.573,19740.54175,27.0565,0.0185,217.941,71.533,12.376,66,43,122,71,0.307,0.587,217.941,106.537,5.277,105,94,128,106,0.32,0.58,C
0.0025,0.17325,42.071,0.0025,6.2805,0.26775,52.1175,-198.30975,83110.1915,42.071,0.0115,1010.742,79.01,13.813,80,29,123,79,-0.056,-0.039,1010.742,111.04,7.211,112,85,134,111,-0.058,-0.046,C
0.0025,0.0985,180.34825,0.0025,6.0815,0.17875,173.535,1615.9435,810866.062,180.34825,0.00275,445.015,107.349,21.287,100,44,174,107,0.088,-0.105,445.015,170.667,13.599,172,130,213,170,0.084,-0.085,C
0.003,0.12275,102.503,0.003,5.8995,0.208,127.416,-3961.1045,584317.0858,102.503,0.0045,371.867,74.473,18.062,79,3,119,75,-0.447,0.471,371.867,149.656,11.54,147,104,178,150,-0.441,0.469,C
0.002,0.14,77.5625,0.002,6.291,0.22875,95.8695,976.54975,311857.5345,77.5625,0.00625,747.093,89.816,15.456,88,31,145,90,0.184,0.409,747.093,159.481,9.87,158,122,195,160,0.181,0.398,C
